Provincia,Cuenca,Subcuenca,Codigo_cuenca,ID_local,Tipo_geoforma,Clas_prima,Origen_GE,Act_GE,Forma_GE,Estruct_I,Estruct_II,Longitud,Latitud,Area,Largo_total,H_max_total,H_media_total,H_min_total,Pendiente,Orientacion,H_max_parcial,H_media_parcial,H_min_parcial,Img_ba_F,Img_ba_S,Img_ap_S_Bing/Google Earth,Img_ap_S_Desconocido
4,3,19,9,3115,1,6,-1.0,-1.0,-1.0,-1.0,-1.0,-69.994,-29.2843,0,273.0,5431.0,5375.0,5314.0,20.341,6,5431.0,5375.0,5314.0,3,0,False,True
4,3,19,9,3119,1,6,-1.0,-1.0,-1.0,-1.0,-1.0,-69.9954,-29.2964,0,1546.0,5523.0,5291.0,4986.0,19.356,6,5523.0,5291.0,4986.0,3,0,False,True
4,3,19,9,3004,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.8835,-29.6151,2,446.0,5110.0,5045.0,5003.0,11.537,2,5110.0,5045.0,5003.0,3,0,False,True
4,3,19,9,3065,2,9,1.0,2.0,4.0,2.0,2.0,-69.9211,-30.0798,0,209.0,4521.0,4478.0,4433.0,16.167,7,4521.0,4478.0,4433.0,3,0,True,False
4,3,19,9,2978,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.8689,-29.613,2,81.0,4898.0,4870.0,4812.0,23.167,6,4898.0,4870.0,4812.0,3,0,False,True
4,3,19,9,2776,2,9,1.0,2.0,1.0,1.0,2.0,-69.7657,-29.2746,0,494.0,4613.0,4585.0,4552.0,14.587,0,4613.0,4585.0,4552.0,3,0,True,False
4,3,19,9,3021,2,9,1.0,1.0,0.0,2.0,2.0,-69.8906,-30.037,0,493.0,4583.0,4540.0,4470.0,15.188,6,4583.0,4540.0,4470.0,3,0,True,False
4,3,19,9,2955,2,9,1.0,1.0,4.0,2.0,2.0,-69.8552,-30.01,0,258.0,4732.0,4667.0,4611.0,28.853,7,4732.0,4667.0,4611.0,3,0,True,False
4,3,19,9,2794,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7746,-29.2242,1,372.0,5007.0,4950.0,4893.0,18.734,6,5007.0,4950.0,4893.0,3,0,False,True
4,3,19,9,2928,2,9,1.0,2.0,1.0,1.0,1.0,-69.826,-29.2399,2,192.0,4488.0,4473.0,4458.0,21.596,3,4488.0,4473.0,4458.0,3,0,True,False
4,3,19,9,2725,2,9,1.0,2.0,0.0,2.0,2.0,-69.7478,-29.3393,1,186.0,4412.0,4387.0,4360.0,26.357,5,4412.0,4387.0,4360.0,3,0,True,False
4,3,19,9,3010,1,6,-1.0,-1.0,-1.0,-1.0,-1.0,-69.8858,-29.7435,0,248.0,5048.0,5014.0,4984.0,16.292,6,5048.0,5014.0,4984.0,3,0,False,True
