Provincia,Cuenca,Subcuenca,Codigo_cue,ID_local,Tipo_geofo,Nombre_com,Clas_prima,Forma,Frente,Perf_long,Fuente_ali,Act_lengua,Morena_1,Morena_2,Cob_lengua,Origen_GE,Act_GE,Forma_GE,Estruct_I,Estruct_II,Longitud,Latitud,Area,Largo_tota,H_max_tota,H_media_to,H_min_tota,Pendiente,Orientacio,H_max_parc,H_media_pa,H_min_parc,Img_ba_F,Img_ba_S,Img_ap_F,Img_ap_S
Salta,R. Bermejo,R. Condado,A0180000,G652398O223294S,GE,,9,,,,,,,,,1,1,2,1,2,-65.2398,-22.3295,0.0126,138.0,4803.0,4783.0,4762.0,28.032,SE,4803.0,4783.0,4762.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652436O223568S,GE,,9,,,,,,,,,1,2,0,1,2,-65.2437,-22.3568,0.0396,163.0,4584.0,4565.0,4539.0,19.232,S,4584.0,4565.0,4539.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G653264O225000S,GE,,9,,,,,,,,,1,1,3,1,2,-65.3264,-22.5,0.0681,585.0,4796.0,4720.0,4661.0,19.702,SE,4796.0,4720.0,4661.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Blanco,A0180000,G650496O230659S,GE,,9,,,,,,,,,1,1,2,1,2,-65.0496,-23.0659,0.0248,205.0,4359.0,4323.0,4300.0,33.029,S,4359.0,4323.0,4300.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Blanco,A0180000,G650357O232331S,GE,,9,,,,,,,,,1,2,2,1,2,-65.0358,-23.2332,0.0194,144.0,4434.0,4420.0,4406.0,20.242,E,4434.0,4420.0,4406.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Blanco,A0180000,G650348O232319S,GE,,9,,,,,,,,,1,2,2,1,2,-65.0349,-23.2319,0.0183,215.0,4455.0,4393.0,4351.0,22.462,SE,4455.0,4393.0,4351.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Blanco,A0180000,G650321O232513S,GE,,9,,,,,,,,,1,2,1,1,2,-65.0322,-23.2513,0.0354,145.0,4489.0,4473.0,4462.0,19.257,NE,4489.0,4473.0,4462.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G653301O225087S,GE,,9,,,,,,,,,1,2,4,2,2,-65.3301,-22.5088,0.0239,95.0,4611.0,4603.0,4588.0,29.532,SE,4611.0,4603.0,4588.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G653336O225179S,GE,,9,,,,,,,,,1,2,4,2,2,-65.3336,-22.518,0.0104,393.0,4655.0,4601.0,4558.0,19.868,SE,4610.0,4579.0,4558.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G653160O225829S,GE,,9,,,,,,,,,1,2,0,2,2,-65.3161,-22.5829,0.0191,153.0,4596.0,4586.0,4576.0,24.553,O,4596.0,4586.0,4576.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G651945O221945S,GE,,9,,,,,,,,,1,1,1,1,2,-65.1945,-22.1946,0.0156,231.0,4647.0,4630.0,4612.0,24.336,SE,4647.0,4630.0,4612.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G653228O224995S,GE,,9,,,,,,,,,1,1,2,2,2,-65.3228,-22.4996,0.0263,116.0,4691.0,4678.0,4664.0,30.243,S,4691.0,4678.0,4664.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G653204O225009S,GE,,9,,,,,,,,,1,2,2,1,2,-65.3204,-22.5009,0.0614,354.0,4616.0,4589.0,4550.0,15.436,SE,4616.0,4589.0,4550.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G653150O224999S,GE,,9,,,,,,,,,1,2,4,2,2,-65.315,-22.4999,0.043,284.0,4527.0,4482.0,4451.0,20.515,S,4527.0,4482.0,4451.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G653282O225061S,GE,,9,,,,,,,,,3,1,1,2,2,-65.3283,-22.5061,0.095,514.0,4791.0,4699.0,4648.0,24.008,SE,4791.0,4699.0,4648.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652824O227067S,GE,,9,,,,,,,,,1,1,0,1,2,-65.2825,-22.7068,0.0177,290.0,4190.0,4171.0,4153.0,20.17,S,4190.0,4171.0,4153.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651911O225283S,GE,,9,,,,,,,,,1,2,2,1,2,-65.1911,-22.5283,0.0111,107.0,4505.0,4462.0,4437.0,21.252,SE,4505.0,4462.0,4437.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652568O226312S,GE,,9,,,,,,,,,1,2,1,1,1,-65.2569,-22.6312,0.0116,183.0,4440.0,4399.0,4364.0,22.988,SE,4440.0,4399.0,4364.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652656O224787S,GE,,9,,,,,,,,,1,2,4,2,2,-65.2657,-22.4788,0.0198,233.0,4432.0,4419.0,4406.0,23.503,SO,4432.0,4419.0,4406.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652313O224634S,GE,,9,,,,,,,,,1,2,2,1,2,-65.2313,-22.4635,0.0224,173.0,4365.0,4361.0,4359.0,23.934,S,4365.0,4361.0,4359.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G651966O221540S,GE,,9,,,,,,,,,1,2,0,2,2,-65.1966,-22.154,0.0331,163.0,4744.0,4743.0,4741.0,19.667,O,4744.0,4743.0,4741.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652223O223597S,GE,,9,,,,,,,,,1,2,2,1,2,-65.2224,-22.3598,0.0341,155.0,4478.0,4448.0,4409.0,20.131,NO,4478.0,4448.0,4409.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651889O224829S,GE,,9,,,,,,,,,1,2,2,1,2,-65.1889,-22.4829,0.0244,125.0,4696.0,4677.0,4661.0,11.981,O,4696.0,4677.0,4661.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652798O226891S,GE,,9,,,,,,,,,1,2,1,1,2,-65.2798,-22.6892,0.0172,275.0,4537.0,4525.0,4512.0,21.759,O,4537.0,4525.0,4512.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652812O226949S,GE,,9,,,,,,,,,1,2,1,1,2,-65.2812,-22.6949,0.0422,464.0,4494.0,4457.0,4430.0,18.712,SO,4494.0,4457.0,4430.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651779O229789S,GE,,9,,,,,,,,,1,2,2,1,2,-65.1779,-22.979,0.0158,96.0,4627.0,4604.0,4583.0,14.257,SE,4627.0,4604.0,4583.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651387O228637S,GE,,9,,,,,,,,,1,1,0,2,2,-65.1388,-22.8637,0.0549,653.0,4263.0,4190.0,4141.0,18.684,O,4263.0,4190.0,4141.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652609O226234S,GE,,9,,,,,,,,,1,2,1,1,2,-65.2609,-22.6234,0.0158,202.0,4631.0,4552.0,4501.0,25.967,SE,4631.0,4552.0,4501.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652613O226425S,GE,,9,,,,,,,,,1,2,4,2,2,-65.2614,-22.6426,0.0442,46.0,4668.0,4612.0,4556.0,23.911,S,4668.0,4612.0,4556.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Jujuy,R. Bermejo,R. Iruya,Y0180000,G652742O226553S,GE,,9,,,,,,,,,1,2,2,1,2,-65.2743,-22.6554,0.026,302.0,4751.0,4727.0,4693.0,23.632,SO,4751.0,4727.0,4693.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652683O226513S,GE,,9,,,,,,,,,1,2,2,1,2,-65.2683,-22.6514,0.0191,177.0,4715.0,4704.0,4693.0,22.561,E,4715.0,4704.0,4693.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652242O222566S,GE,,9,,,,,,,,,1,1,2,1,1,-65.2243,-22.2566,0.0116,121.0,4608.0,4536.0,4494.0,27.923,S,4608.0,4536.0,4494.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652360O222947S,GE,,9,,,,,,,,,1,1,4,2,2,-65.236,-22.2947,0.0128,82.0,4741.0,4667.0,4646.0,33.633,S,4741.0,4667.0,4646.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652448O223379S,GE,,9,,,,,,,,,1,1,4,2,2,-65.2448,-22.3379,0.0722,295.0,4809.0,4760.0,4727.0,18.27,O,4809.0,4760.0,4727.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
